,username_mittente,id_mittente,username_ricevente,id_ricevente,semestre,weights
8526,bmoschetti,44444384,cherylhart00,741091012328591363,1.0,0.0
8527,bmoschetti,44444384,davidsirota,14855994,1.0,0.0
8528,bmoschetti,44444384,gumboqueen3030,4730403444,1.0,0.0
8529,bmoschetti,44444384,howardfineman,14962779,1.0,0.0
8530,bmoschetti,44444384,jaketapper,14529929,1.0,0.0
8531,bmoschetti,44444384,janebar149,1001174278069473281,1.0,0.0
8532,bmoschetti,44444384,kneerecon,457681329,1.0,0.0
8533,bo2the_nilla,23624462,BernieSanders,216776631,1.0,0.0
8534,bmoschetti,44444384,neeratanden,125453969,1.0,0.0
8535,bmoschetti,44444384,oufenix,2740546270,1.0,0.0
8536,bmoschetti,44444384,riotwomennn,16721452,1.0,0.0
8537,bmoschetti,44444384,roguesnradvisor,825153022653128704,1.0,0.0
8538,bmoschetti,44444384,tburages,822491301484576772,1.0,0.0
8539,bmoschetti,44444384,tjtrumphater,1133937437745602560,1.0,0.0
8540,bmoschetti,44444384,tribelaw,4091551984,1.0,0.0
8541,bmoschetti,44444384,vistadiva,37016783,1.0,0.0
8542,bluegirlcinemas,1172355371891118080,ryangrim,16170253,1.0,0.0
8543,bluegirlcinemas,1172355371891118080,ewarren,357606935,1.0,0.0
8544,blindman_54,218261461,Jonescrusher11,3296106678,1.0,0.0
8545,blocksparq,1251708092,eugenegu,65497475,1.0,0.0
8546,blindman_54,218261461,my2meows,761587775225274368,1.0,0.0
8547,blindman_54,218261461,rodriguez197031,3060298349,1.0,0.0
8548,blindman_54,218261461,sparrowninja22,742078456213733376,1.0,0.0
8549,blindman_54,218261461,ttruthtweet,791459818175422464,1.0,0.0
8550,blinksup,3383741713,WhiteHouse,1323730225067339784,1.0,0.0
8551,blinksup,3383741713,realDonaldTrump,25073877,1.0,0.0
8552,blknwite,33199565,MollyJongFast,14298769,1.0,0.0
8553,blknwite,33199565,c_james_,290876426,1.0,0.0
8554,blocksparq,1251708092,realDonaldTrump,25073877,1.0,0.0
8555,blindman_54,218261461,mplspat,930518317,1.0,0.0
8556,blowncall1,846237181,KASDad,202201906,1.0,0.0
8557,blowncall1,846237181,NOMADICINDIAN2,1510852916537614337,1.0,0.0
8558,blowncall1,846237181,cnnbrk,428333,1.0,0.0
8559,blue_w0lverine,1027590708927057920,DJZJCZ,3131971197,1.0,0.0
8560,blue_w0lverine,1027590708927057920,Hefner_Online,782005105998565376,1.0,0.0
8561,blue_w0lverine,1027590708927057920,IrisD236,2823447707,1.0,0.0
8562,blue_w0lverine,1027590708927057920,Ironhorse76,21712671,1.0,0.0
8563,blue_w0lverine,1027590708927057920,JRWBird,866449363,1.0,0.0
8564,blindman_54,218261461,muchmor1,3383647487,1.0,0.0
8565,blindman_54,218261461,mohamme37855839,1245100575634657282,1.0,0.0
8566,blue_w0lverine,1027590708927057920,Peopleafteru,1350513475,1.0,0.0
8567,blindman_54,218261461,TodMoore3,2916094244,1.0,0.0
8568,blindman_54,218261461,MapMystic,4905274681,1.0,0.0
8569,blindman_54,218261461,MoralOutrage1,254621726,1.0,0.0
8570,blindman_54,218261461,MrMusicSoftware,300662320,1.0,0.0
8571,blindman_54,218261461,OWS_ellie,21688445,1.0,0.0
8572,blindman_54,218261461,Olsonjam808,898692590,1.0,0.0
8573,blindman_54,218261461,PhroydsWorld,2324451614,1.0,0.0
8574,blindman_54,218261461,PranaysGhost,1198490848507248645,1.0,0.0
8575,blindman_54,218261461,StarLord35,2735465556,1.0,0.0
8576,blindman_54,218261461,VaughanPappy,278123988,1.0,0.0
8577,blindman_54,218261461,lockwoodx3,1057384071691751425,1.0,0.0
8578,blindman_54,218261461,bitchylaughter,59247592,1.0,0.0
8579,blindman_54,218261461,brooklynnygirl,43414431,1.0,0.0
8580,blindman_54,218261461,caliBOT2,1451192089266380810,1.0,0.0
8581,blindman_54,218261461,donnyonyea,1138232471584030720,1.0,0.0
8582,blindman_54,218261461,katalin_pota,367750490,1.0,0.0
8583,blindman_54,218261461,kokeshi_me,14962178,1.0,0.0
8584,blindman_54,218261461,koziz5,3871251022,1.0,0.0
8585,blindman_54,218261461,legant66,552119609,1.0,0.0
8586,blue_w0lverine,1027590708927057920,KorieC4,1149521508391215104,1.0,0.0
8587,blue_w0lverine,1027590708927057920,craftyvegangirl,701350768385794048,1.0,0.0
8588,bluegirlcinemas,1172355371891118080,WhoopiGoldberg,284602545,1.0,0.0
8589,bluefox94,449384057,politico,9300262,1.0,0.0
8590,blueelection,133884387,yeldarb_reed,3409745224,1.0,0.0
8591,blueelection,133884387,zero7fan,762060000248332292,1.0,0.0
8592,bluefox94,449384057,TimRunsHisMouth,34367582,1.0,0.0
8593,bluefox94,449384057,TrumpWarRoom,1108472017144201216,1.0,0.0
8594,bluefox94,449384057,USMCSDI,59152065,1.0,0.0
8595,bluefox94,449384057,WhiteHouse,1323730225067339784,1.0,0.0
8596,bluefox94,449384057,dbongino,232901331,1.0,0.0
8597,bluefox94,449384057,marklevinshow,38495835,1.0,0.0
8598,bluegirlcinemas,1172355371891118080,Alyssa_Milano,26642006,1.0,0.0
8599,blueelection,133884387,noondlyt,1275662379058167809,1.0,0.0
8600,bluegirlcinemas,1172355371891118080,BernieSanders,216776631,1.0,0.0
8601,bluegirlcinemas,1172355371891118080,BoKnowsNews,2717961126,1.0,0.0
8602,bluegirlcinemas,1172355371891118080,CBSNews,15012486,1.0,0.0
8603,bluegirlcinemas,1172355371891118080,EmmaVigeland,742453163098296320,1.0,0.0
8604,bluegirlcinemas,1172355371891118080,JoeBiden,939091,1.0,0.0
8605,bluegirlcinemas,1172355371891118080,KamalaHarris,30354991,1.0,0.0
8606,bluegirlcinemas,1172355371891118080,RealTimBlack,1013374544,1.0,0.0
8607,bluegirlcinemas,1172355371891118080,SenSanders,29442313,1.0,0.0
