,source,id_source,target,id_target,weights
53,jphoganorg,37222728,FoxNews,1367531,0.15254237288135594
54,jphoganorg,37222728,WhiteHouse,1323730225067339784,0.15254237288135594
55,elnurrik3,1172766864268832769,FLOTUS,1349154719386775552,0.15254237288135594
56,mstmo1983,1330846699061964801,WhiteHouse,1323730225067339784,0.15254237288135594
57,lisaisme85,2900247904,BarackObama,813286,0.15254237288135594
58,moogoo3544,314641312,AmericaNewsroom,312800783,0.15254237288135594
59,moogoo3544,314641312,cvpayne,19400611,0.15254237288135594
60,joethevoter,17324944,realDonaldTrump,25073877,0.13559322033898305
61,blesamerica,2534967565,JoeBiden,939091,0.13559322033898305
62,catskilljulie,61041270,JoeBiden,939091,0.13559322033898305
63,mariaal25005903,853445560677912576,realDonaldTrump,25073877,0.13559322033898305
64,khosraviamirali,1843984716,DrBiden,821784477076750338,0.13559322033898305
65,elliielle,1244730845379866624,POTUS,1349149096909668363,0.13559322033898305
66,eyesonfoxorg,117327100,thehill,1917731,0.13559322033898305
67,zemanlynnz,3589010426,RepKevinBrady,19926675,0.13559322033898305
68,blesamerica,2534967565,seanhannity,41634520,0.13559322033898305
69,icecreamonacone,54361678,donwinslow,255812611,0.13559322033898305
70,owlsi1,1278050664677953536,ProjectLincoln,1205226529455632385,0.13559322033898305
71,teaparty4pa,1229413533722562567,DonaldTrumpGOP,3295909099,0.13559322033898305
72,dcfairbank,55679493,HardLensMedia,830585933741297666,0.13559322033898305
73,mark3ds,1242570896,CanadaFP,121514648,0.13559322033898305
74,icecreamonacone,54361678,MeidasTouch,1243560408025198593,0.13559322033898305
75,icecreamonacone,54361678,kylegriffin1,32871086,0.13559322033898305
76,blesamerica,2534967565,MariaBartiromo,208155240,0.11864406779661017
77,joethevoter,17324944,SenRickScott,131546062,0.11864406779661017
78,theliberalpov,232353398,SteveSchmidtSES,786309892990574592,0.11864406779661017
79,elliielle,1244730845379866624,SecBlinken,1350150750966603777,0.11864406779661017
